,TownID,CountryName,Country,TownName,Town
301,6601300,臺中,臺中市,沙鹿,沙鹿區
302,6601400,臺中,臺中市,梧棲,梧棲區
303,6601500,臺中,臺中市,后里,后里區
304,6601600,臺中,臺中市,神岡,神岡區
305,6601700,臺中,臺中市,潭子,潭子區
306,6601800,臺中,臺中市,大雅,大雅區
307,6601900,臺中,臺中市,新社,新社區
308,6602000,臺中,臺中市,石岡,石岡區
309,6602100,臺中,臺中市,外埔,外埔區
310,6602200,臺中,臺中市,大安,大安區
311,6602300,臺中,臺中市,烏日,烏日區
312,6602400,臺中,臺中市,大肚,大肚區
313,6602500,臺中,臺中市,龍井,龍井區
314,6602600,臺中,臺中市,霧峰,霧峰區
315,6602700,臺中,臺中市,太平,太平區
316,6602800,臺中,臺中市,大里,大里區
317,6602900,臺中,臺中市,和平,和平區
318,6700100,臺南,臺南市,新營,新營區
319,6700200,臺南,臺南市,鹽水,鹽水區
320,6700300,臺南,臺南市,白河,白河區
321,6700400,臺南,臺南市,柳營,柳營區
322,6700500,臺南,臺南市,後壁,後壁區
323,6700600,臺南,臺南市,東山,東山區
324,6700700,臺南,臺南市,麻豆,麻豆區
325,6700800,臺南,臺南市,下營,下營區
326,6700900,臺南,臺南市,六甲,六甲區
327,6701000,臺南,臺南市,官田,官田區
328,6701100,臺南,臺南市,大內,大內區
329,6701200,臺南,臺南市,佳里,佳里區
330,6701300,臺南,臺南市,學甲,學甲區
331,6701400,臺南,臺南市,西港,西港區
332,6701500,臺南,臺南市,七股,七股區
333,6701600,臺南,臺南市,將軍,將軍區
334,6701700,臺南,臺南市,北門,北門區
335,6701800,臺南,臺南市,新化,新化區
336,6701900,臺南,臺南市,善化,善化區
337,6702000,臺南,臺南市,新市,新市區
338,6702100,臺南,臺南市,安定,安定區
339,6702200,臺南,臺南市,山上,山上區
340,6702300,臺南,臺南市,玉井,玉井區
341,6702400,臺南,臺南市,楠西,楠西區
342,6702500,臺南,臺南市,南化,南化區
343,6702600,臺南,臺南市,左鎮,左鎮區
